item,term,estimate,std_error,z,p_value,OR,OR_low,OR_high
accurate,personai,0.298076499547375,0.202826119795426,1.46961594417928,0.141665799537691,1.34726484908859,0.905323722112192,2.00494312615035
accurate,assessor_typestudent,0.573680340625203,0.217522731541179,2.63733512612957,0.00835602345103036,1.77478686671066,1.1587429883167,2.71834949942131
accurate,personai:assessor_typestudent,-0.016542001349777,0.297691276543054,-0.0555676388702796,0.955686245096157,0.98359406624466,0.548802359404,1.76285190938749
clear.direction,personai,1.88913615480663,0.213995439031815,8.82792719019479,1.06633433019969e-18,6.61365304029467,4.34795271595413,10.0600005094123
clear.direction,assessor_typestudent,0.31591263306188,0.203266289663661,1.55418113640295,0.12014121577501,1.37151042572504,0.920821295491688,2.04278599667709
clear.direction,personai:assessor_typestudent,0.0829714285220033,0.297674260235963,0.278732290982206,0.780450279576685,1.08651076488635,0.6062455836,1.9472399868117
criteria.based,personai,2.46919767750623,0.222402697889155,11.1023728621173,1.22156932821062e-28,11.8129652407693,7.63916565415479,18.2671975052312
criteria.based,assessor_typestudent,0.47062351316829,0.205220260936876,2.29326047545105,0.0218330132915386,1.60099212174448,1.07078476162639,2.39373575880435
criteria.based,personai:assessor_typestudent,-0.122243195933633,0.299969240900798,-0.407519102847146,0.683626766723788,0.884933130192347,0.491554279978895,1.59312343887159
prioritization,personai,0.531855700650102,0.195494413477367,2.72056725913386,0.00651700126336001,1.70208794546123,1.16030934957622,2.49683705051808
prioritization,assessor_typestudent,0.22542094925986,0.20925952063972,1.07723150932743,0.281376851766176,1.25284999148264,0.831330615057573,1.88809731378573
prioritization,personai:assessor_typestudent,0.482322565514925,0.290939500153624,1.65781052507565,0.0973557162510205,1.61983220304909,0.915835189350494,2.8649874961626
supportive,personai,0.290493348879889,0.221356979737191,1.31232974548524,0.189408899959243,1.33708697569512,0.866436607811169,2.06339571118762
supportive,assessor_typestudent,0.450234677828519,0.235166394289541,1.91453663772291,0.0555516224129245,1.56868027677804,0.989365495483999,2.48720803584183
supportive,personai:assessor_typestudent,0.17799143852606,0.342315304356435,0.519963426294042,0.60308906666171,1.19481509181274,0.610823911837459,2.33714344831243
