item,person,n,pct_agreement,kappa_quadratic,kappa_p,icc_value,icc_lower,icc_upper,icc_p
accurate,ai,161,36.0248447204969,0.0620131357873834,0.412250464676118,0.0623765418550548,-0.0866385824738149,0.210196984635626,0.206557625830592
accurate,supervisor,161,40.9937888198758,0.382908659036925,5.74824210008984e-07,0.38438194331545,0.24555001631787,0.507953913279853,1.67037567179335e-07
clear.direction,ai,161,44.7204968944099,0.14979894384962,0.0472208773612493,0.150594194428209,-0.00430707120937048,0.298302893319594,0.0283180740547556
clear.direction,supervisor,161,37.888198757764,0.53475123433346,6.43995967664068e-12,0.536301006889242,0.416786390488303,0.637643315475156,7.12194143184434e-14
criteria.based,ai,161,44.0993788819876,0.075829383886256,0.312501203876548,0.0762671719564186,-0.0798899813613881,0.228522691292899,0.168756888749438
criteria.based,supervisor,161,31.055900621118,0.426703852187554,2.08020312086887e-08,0.428228708516593,0.29266728059324,0.546774586010929,6.67291769229933e-09
prioritization,ai,161,24.2236024844721,0.0419026512353279,0.564653796827972,0.0421535031584161,-0.107405919201448,0.191227850785986,0.291114819195059
prioritization,supervisor,161,32.9192546583851,0.379371694973889,1.30961259214857e-06,0.380839769137905,0.240638674530478,0.505456524431397,2.9404197495297e-07
supportive,ai,161,49.6894409937888,0.072972972972973,0.304065663347444,0.0733955797187095,-0.0826835374837637,0.225731533306122,0.177924077217038
supportive,supervisor,161,55.9006211180124,0.365070422535211,2.93416497476606e-06,0.366515837104072,0.225870952646703,0.492384088185612,6.74718262453982e-07
